filename,symmetry_score,label
fake_0.npy,44.0,fake
fake_1.npy,42.4118,fake
fake_10.npy,44.9412,fake
fake_100.npy,148.3382,fake
fake_10000.npy,46.5294,fake
fake_10001.npy,50.1765,fake
fake_10003.npy,41.75,fake
fake_10004.npy,42.1176,fake
fake_10006.npy,44.7353,fake
fake_10008.npy,53.0,fake
fake_10009.npy,49.4118,fake
fake_1001.npy,41.4265,fake
fake_10010.npy,42.6176,fake
fake_10011.npy,47.9706,fake
fake_10012.npy,47.2353,fake
fake_10013.npy,45.3088,fake
fake_10014.npy,39.6324,fake
fake_10015.npy,42.7647,fake
fake_10016.npy,45.3971,fake
fake_10017.npy,42.1324,fake
fake_10018.npy,52.2941,fake
fake_10019.npy,56.0735,fake
fake_1002.npy,47.5735,fake
fake_10020.npy,49.3971,fake
fake_10021.npy,49.0882,fake
fake_10022.npy,40.4559,fake
fake_10023.npy,41.7059,fake
fake_10024.npy,46.3382,fake
fake_10025.npy,42.7941,fake
fake_10026.npy,41.9559,fake
fake_10027.npy,42.8971,fake
fake_10028.npy,45.9559,fake
fake_10029.npy,51.2941,fake
fake_1003.npy,82.8676,fake
fake_10030.npy,48.8824,fake
fake_10031.npy,35.9412,fake
fake_10032.npy,36.5735,fake
fake_10033.npy,44.75,fake
fake_10034.npy,40.8676,fake
fake_10035.npy,45.1324,fake
fake_10036.npy,40.8088,fake
fake_10037.npy,42.1765,fake
fake_10038.npy,46.9118,fake
fake_10039.npy,46.3529,fake
fake_1004.npy,45.2941,fake
fake_10040.npy,44.1029,fake
fake_10041.npy,46.6029,fake
fake_10042.npy,47.7647,fake
fake_10043.npy,50.1618,fake
fake_10044.npy,65.1912,fake
fake_10045.npy,63.6618,fake
fake_10046.npy,52.1029,fake
fake_10047.npy,42.3382,fake
fake_10048.npy,52.6471,fake
fake_10049.npy,54.5441,fake
fake_1005.npy,40.7941,fake
fake_10050.npy,42.9853,fake
fake_10051.npy,39.6912,fake
fake_10052.npy,41.0735,fake
fake_10053.npy,41.0,fake
fake_10054.npy,40.2353,fake
fake_10055.npy,47.8235,fake
fake_10056.npy,47.4853,fake
fake_10057.npy,46.3235,fake
fake_10058.npy,48.2059,fake
fake_10059.npy,40.9412,fake
fake_1006.npy,39.2941,fake
fake_10060.npy,47.8824,fake
fake_10061.npy,43.3235,fake
fake_10062.npy,41.25,fake
fake_10063.npy,43.2941,fake
fake_10065.npy,44.5882,fake
fake_10066.npy,46.75,fake
fake_10067.npy,46.7647,fake
fake_10068.npy,47.6471,fake
fake_10069.npy,38.6029,fake
fake_1007.npy,62.2941,fake
fake_10070.npy,37.5735,fake
fake_10071.npy,43.3971,fake
fake_10072.npy,47.7059,fake
fake_10073.npy,48.4412,fake
fake_10074.npy,41.5294,fake
fake_10075.npy,47.9265,fake
fake_10077.npy,45.2794,fake
fake_10078.npy,36.5735,fake
fake_10079.npy,139.3529,fake
fake_1008.npy,40.1029,fake
fake_10080.npy,46.2941,fake
fake_10081.npy,51.8382,fake
fake_10082.npy,48.0735,fake
fake_10083.npy,44.5441,fake
fake_10084.npy,48.3235,fake
fake_10085.npy,49.6471,fake
fake_10086.npy,51.5735,fake
fake_10087.npy,40.8235,fake
fake_10088.npy,44.8529,fake
fake_10089.npy,47.6912,fake
fake_1009.npy,39.5735,fake
fake_10090.npy,60.25,fake
fake_10091.npy,58.3824,fake
fake_10092.npy,44.8824,fake
fake_10093.npy,55.0441,fake
fake_10094.npy,58.4706,fake
fake_10095.npy,47.7941,fake
fake_10096.npy,51.3676,fake
fake_10097.npy,39.7647,fake
fake_10098.npy,41.3382,fake
fake_10099.npy,46.1765,fake
fake_101.npy,38.6618,fake
fake_1010.npy,40.75,fake
fake_10100.npy,40.9853,fake
fake_10101.npy,39.6471,fake
fake_10102.npy,41.3824,fake
fake_10103.npy,52.2647,fake
fake_10104.npy,41.8088,fake
fake_10105.npy,51.6471,fake
fake_10106.npy,57.2647,fake
fake_10107.npy,39.5588,fake
fake_10108.npy,42.6912,fake
fake_10109.npy,41.6471,fake
fake_1011.npy,47.3529,fake
fake_10110.npy,42.8088,fake
fake_10111.npy,45.3824,fake
fake_10112.npy,48.1765,fake
fake_10113.npy,42.7206,fake
fake_10114.npy,41.9118,fake
fake_10115.npy,49.6471,fake
fake_10116.npy,43.3824,fake
fake_10117.npy,46.8235,fake
fake_10118.npy,48.4265,fake
fake_10119.npy,44.8235,fake
fake_1012.npy,46.5294,fake
fake_10120.npy,50.3382,fake
fake_10121.npy,39.8971,fake
